Fault,Length,Strain rate
0,430.08326112068545,1.42431e-14
1,24.82842712474619,4.42453e-15
2,248.9411254969544,1.2506299999999999e-14
3,137.4558441227157,3.4301099999999994e-14
4,117.2132034355964,2.10395e-14
5,262.59797974644687,1.2050200000000002e-14
6,169.87005768508885,5.98647e-15
7,24.0,6.592230000000001e-15
8,10.414213562373096,6.52047e-15
9,15.242640687119287,3.77008e-15
10,429.3259018078048,1.3811500000000001e-14
11,42.0,4.5021e-15
12,21.242640687119287,5.27545e-15
13,81.38477631085021,1.37501e-14
14,25.656854249492383,1.07078e-14
15,56.721349351738354,7.49124e-15
16,19.0,3.6802900000000005e-15
17,16.242640687119284,9.321309999999999e-15
18,245.49747468305856,1.786e-14
19,28.656854249492383,7.41481e-15
20,14.23606797749979,4.571069999999999e-15
21,78.2132034355964,9.13968e-15
22,46.242640687119284,6.09578e-15
23,24.414213562373096,4.2603299999999996e-15
24,309.66904755831234,9.145189999999999e-15
25,9.414213562373096,5.60394e-15
26,80.72792206135784,9.118989999999996e-15
27,39.828427124746185,1.02553e-14
28,23.0,5.51507e-15
29,34.0,7.63074e-15
30,10.0,9.291559999999999e-15
31,33.65685424949238,6.4601699999999994e-15
32,11.0,7.05635e-15
33,261.59797974644687,1.62166e-14
34,12.0,5.25053e-15
35,344.7106781186551,1.50448e-14
36,38.69432345165362,5.4127499999999995e-15
37,20.82842712474619,4.6554e-15
38,237.94112549695444,2.47502e-14
39,9.0,3.2775399999999996e-15
40,157.79898987322335,1.20119e-14
41,28.414213562373096,8.30908e-15
42,14.0,6.58682e-15
43,35.65685424949238,8.099339999999999e-15
44,103.79898987322332,8.62045e-15
45,17.0,4.19303e-15
46,15.242640687119286,4.4003599999999996e-15
47,46.31370849898477,1.2560600000000001e-14
48,14.0,4.0097000000000004e-15
49,9.0,6.450190000000001e-15
50,15.414213562373096,4.23215e-15
51,95.38477631085021,1.0873299999999996e-14
52,64.31370849898477,1.14799e-14
53,16.414213562373096,4.33753e-15
54,9.0,4.49598e-15
55,11.0,4.62434e-15
56,67.14213562373094,1.1734100000000001e-14
57,84.28427124746186,9.73844e-15
58,9.0,3.71604e-15
59,26.414213562373096,6.0585e-15
60,51.970562748477136,1.115e-14
61,25.0,4.01963e-15
62,46.13439201491208,8.47926e-15
63,44.071067811865476,8.34091e-15
64,41.41421356237309,7.28234e-15
65,38.071067811865476,1.47505e-14
66,9.0,4.03219e-15
